iter	PRAUC	Logloss
0	0.8350675097	0.6895913174
1	0.8648973886	0.6861236705
2	0.8753734115	0.6833998303
3	0.8852771627	0.6796449694
4	0.9015301213	0.6753100459
5	0.9005389618	0.671823367
6	0.9043012545	0.6678732418
7	0.9140835513	0.6634688405
8	0.9193153006	0.6600926745
9	0.9271107035	0.6548927848
10	0.930150873	0.651776912
11	0.9357422917	0.6480056323
12	0.9380050345	0.6453400705
13	0.9383179468	0.6416306087
14	0.9391720589	0.6371620523
15	0.9392743314	0.6351840372
16	0.9382921882	0.6302234675
17	0.9378938795	0.626111479
18	0.9373365666	0.6231160239
19	0.9371573892	0.6201359465
20	0.9404445094	0.6159670158
21	0.9399505487	0.6126396561
22	0.9388794542	0.6099331313
23	0.9399976378	0.6075004583
24	0.9411372843	0.604419797
25	0.9415661305	0.6019847452
26	0.94160772	0.598377177
27	0.9413848851	0.596337067
28	0.9426382185	0.5934950891
29	0.9434422925	0.5905254611
30	0.9433511201	0.587156301
31	0.9433499728	0.5843335704
32	0.9447272369	0.57998817
33	0.9451824412	0.5777003357
34	0.9458712615	0.5750655926
35	0.9454873004	0.5728510816
36	0.9455767679	0.569362874
37	0.9451993579	0.567327303
38	0.94471748	0.5644192805
39	0.944218575	0.5604031882
40	0.9453334784	0.5566264358
41	0.9453465349	0.5539362302
42	0.9453639399	0.5510798741
43	0.945206355	0.5494460772
44	0.9457885119	0.5470528079
45	0.9463652904	0.5450238125
46	0.9464280643	0.5420382318
47	0.9467030713	0.5385543278
48	0.9463722494	0.5371488728
49	0.9466080583	0.534971365
50	0.9463937647	0.532815219
51	0.9469700494	0.5305503704
52	0.9475723961	0.5275274343
53	0.9473279376	0.5255529781
54	0.9473235904	0.524089496
55	0.9474027797	0.5225059688
56	0.9479574063	0.5206468622
57	0.9480190023	0.5185715884
58	0.9479248485	0.5161212856
59	0.9485194163	0.5145626899
60	0.9485021182	0.5127709869
61	0.9482733408	0.5107659734
62	0.948466788	0.5077945615
63	0.9484681697	0.5058111141
64	0.9498549291	0.5044488707
65	0.9501530257	0.5028847533
66	0.9505026257	0.5009536224
67	0.9505148369	0.4996753114
68	0.9505148369	0.4995105652
69	0.9516001674	0.498134131
70	0.9515825092	0.4968964017
71	0.9514319497	0.4952849987
72	0.951425972	0.4934872378
73	0.9517048965	0.4925794832
74	0.9519014271	0.4911793707
75	0.9526882407	0.4900740596
76	0.9530405296	0.4884573029
77	0.9531703362	0.4865627226
78	0.9530659506	0.4851520283
79	0.9527901462	0.4845502177
80	0.9527738393	0.4837280899
81	0.9531651925	0.4825814409
82	0.9533144152	0.4804798313
83	0.9532163647	0.4789863614
84	0.9532336732	0.4776921826
85	0.953320885	0.4763882395
86	0.9536462591	0.4741111762
87	0.9537885464	0.472885246
88	0.9538242963	0.4717418918
89	0.9537253862	0.470323621
90	0.9539023549	0.4691248984
91	0.9540274971	0.4676392652
92	0.9540425287	0.4668634624
93	0.9539188506	0.4651974934
94	0.9537182153	0.4639303099
95	0.9539758013	0.4631447112
96	0.9536950622	0.4618002089
97	0.954043508	0.4602071166
98	0.9540077434	0.4587647134
99	0.9542197564	0.4577892414
100	0.9543727659	0.456966758
101	0.9545452696	0.4561055602
102	0.9544560781	0.4552689667
103	0.9545035175	0.4540638991
104	0.9547265351	0.4527440915
105	0.9549759191	0.4513234752
106	0.9553507883	0.4503191132
107	0.9554731504	0.4492616719
108	0.9556707352	0.4476025007
109	0.9555470676	0.4470305485
110	0.9556959605	0.4460927993
111	0.9558314559	0.4440500336
112	0.9556630671	0.4433583638
113	0.9556806694	0.4418539298
114	0.9561186066	0.440470222
115	0.9564295146	0.4386781907
116	0.9564295146	0.438621573
117	0.9563580657	0.4376349162
118	0.9564624239	0.4364809362
119	0.9561896562	0.4350462518
120	0.9563227137	0.434104628
121	0.9564732207	0.4333879541
122	0.956599506	0.4323010675
123	0.9567932806	0.4311399584
124	0.9567563938	0.4298497884
125	0.9566670591	0.4289726298
126	0.9567333097	0.428217071
127	0.9567508772	0.4276014034
128	0.9576656689	0.4265135953
129	0.9574832367	0.4254797608
130	0.9576054113	0.4243387842
131	0.9580442498	0.4225978162
132	0.9585596152	0.4213629556
133	0.9585196202	0.4208015219
134	0.958821491	0.419691916
135	0.959046864	0.418544259
136	0.9591192362	0.4175686629
137	0.9593369929	0.4167644003
138	0.9597536331	0.4155348392
139	0.9599563753	0.4150436861
140	0.9600156617	0.4144221593
141	0.9602536947	0.4128385754
142	0.9606710263	0.4122868412
