iter	Passed	Remaining
0	1	966
1	1	872
2	2	909
3	3	903
4	4	895
5	5	934
6	7	966
7	8	949
8	9	944
9	9	934
10	11	944
11	12	943
12	12	933
13	14	976
14	15	978
15	16	972
16	17	985
17	18	971
18	19	972
19	20	958
20	21	948
21	22	946
22	23	947
23	24	944
24	25	938
25	26	928
26	27	926
27	28	926
28	29	925
29	31	970
30	32	978
31	33	973
32	35	977
33	35	973
34	36	970
35	38	978
36	39	978
37	40	970
38	41	970
39	42	970
40	43	968
41	44	963
42	45	973
43	48	1003
44	51	1039
45	55	1102
46	60	1162
47	62	1185
48	65	1209
49	69	1246
50	73	1296
51	76	1333
52	79	1351
53	80	1336
54	81	1330
55	86	1383
56	89	1407
57	92	1429
58	95	1447
59	96	1437
60	98	1447
61	102	1474
62	104	1478
63	107	1497
64	110	1503
65	112	1506
66	113	1495
67	116	1516
68	119	1529
69	122	1541
70	125	1562
71	128	1567
72	129	1557
73	134	1593
74	137	1610
75	140	1623
76	144	1645
77	148	1667
78	151	1681
79	155	1698
80	156	1685
81	160	1701
82	161	1692
83	164	1703
84	167	1713
85	171	1729
86	176	1756
87	179	1759
88	182	1776
89	186	1790
90	190	1804
91	195	1825
92	200	1850
93	204	1865
94	208	1878
95	210	1881
96	212	1879
97	216	1893
98	220	1897
99	222	1900
100	227	1917
101	228	1909
102	230	1903
103	234	1911
104	238	1926
105	243	1942
106	247	1957
107	252	1976
108	257	1993
109	259	1992
110	261	1979
111	264	1985
112	267	1986
113	270	1994
114	273	1993
115	274	1980
116	275	1969
117	278	1969
118	279	1957
119	280	1946
120	281	1933
121	282	1922
122	283	1910
123	286	1916
124	289	1917
125	291	1915
126	292	1903
127	295	1901
128	298	1906
129	301	1909
130	306	1920
131	309	1923
132	309	1909
133	314	1922
134	318	1928
135	322	1939
136	323	1926
137	325	1924
138	328	1924
139	331	1926
140	335	1933
141	339	1940
142	342	1940
143	344	1935
144	348	1939
145	352	1948
146	357	1959
147	359	1953
148	363	1963
149	367	1967
150	371	1972
151	373	1970
152	378	1980
153	384	1996
154	389	2002
155	391	2000
156	392	1990
157	397	1999
158	401	2002
159	405	2010
160	408	2009
161	412	2012
162	417	2021
163	422	2033
164	424	2028
165	427	2027
